Criminal Rights,Civil and Social Rights,Group Rights
Ex Post Laws Banned,Expression,Slavery Banned
Debtor Detention Banned,Press,Equality Before Law
Collection of Evidence,Petition,Racial Equality
Double Jeopardy Banned,Assembly,Color Equality
Due Process,Freedom of Religion,Life
Protection Against Self-Incrimination,Separation of Church and State,Gender Equality
Counsel,Arms,
Fair Trial,Birthright Citizenship,
Speedy Trial,Universal Adult Suffrage,
Public Trial,Property,
Examine Witnesses,,
Habeas Corpus,,
Jury Trial,,
Pre-Trial Release,,
Cruel Treatment Prohibited,,
